"part","per","TL","BL","TR","BR","right","self_adv","other_adv","self_dis","other_dis","selfish"
2,136,45,15,29,31,0,45,15,29,31,1
2,137,32,28,37,23,1,37,23,32,28,1
2,138,39,21,25,35,0,39,21,25,35,1
2,139,55,5,50,10,0,55,5,50,10,1
2,140,60,0,23,37,0,60,0,23,37,1
2,141,60,0,25,35,0,60,0,25,35,1
2,142,40,20,35,25,0,40,20,35,25,1
2,143,30,30,33,27,1,33,27,30,30,1
2,144,40,20,26,34,0,40,20,26,34,1
2,145,55,5,25,35,0,55,5,25,35,1
2,146,55,5,15,45,0,55,5,15,45,1
2,147,37,23,40,20,1,40,20,37,23,1
2,148,40,20,30,30,0,40,20,30,30,1
2,149,57,3,27,33,0,57,3,27,33,1
2,150,55,5,10,50,0,55,5,10,50,1
2,151,33,27,28,32,0,33,27,28,32,1
2,152,40,20,21,39,0,40,20,21,39,1
2,153,25,35,37,23,1,37,23,25,35,1
2,154,28,32,40,20,1,40,20,28,32,1
2,155,21,39,55,5,1,55,5,21,39,1
2,156,32,28,40,20,1,40,20,32,28,1
2,157,55,5,57,3,1,57,3,55,5,1
2,158,40,20,55,5,1,55,5,40,20,1
2,159,39,21,37,23,0,39,21,37,23,1
2,160,37,23,34,26,0,37,23,34,26,1
2,161,45,15,25,35,0,45,15,25,35,1
2,162,34,26,26,34,0,34,26,26,34,1
2,163,33,27,37,23,1,37,23,33,27,1
2,164,39,21,23,37,0,39,21,23,37,1
2,165,57,3,30,30,0,57,3,30,30,1
2,166,25,35,57,3,1,57,3,25,35,1
2,167,27,33,60,0,1,60,0,27,33,1
2,168,55,5,37,23,0,55,5,37,23,1
2,169,20,40,55,5,1,55,5,20,40,1
2,170,57,3,21,39,0,57,3,21,39,1
2,171,60,0,32,28,0,60,0,32,28,1
2,172,45,15,37,23,0,45,15,37,23,1
2,173,55,5,33,27,0,55,5,33,27,1
2,174,32,28,57,3,1,57,3,32,28,1
2,175,60,0,28,32,0,60,0,28,32,1
2,176,5,55,55,5,1,55,5,5,55,1
2,177,37,23,31,29,0,37,23,31,29,1
2,178,33,27,32,28,0,33,27,32,28,1
2,179,32,28,30,30,0,32,28,30,30,1
2,180,50,10,26,34,0,50,10,26,34,1
2,181,15,45,57,3,1,57,3,15,45,1
2,182,30,30,35,25,1,35,25,30,30,1
3,1,55,5,57,3,1,57,3,55,5,1
3,2,55,5,28,32,1,55,5,28,32,0
3,3,26,34,35,25,0,35,25,26,34,0
3,4,26,34,45,15,0,45,15,26,34,0
3,5,31,29,55,5,0,55,5,31,29,0
3,6,37,23,30,30,1,37,23,30,30,0
3,7,45,15,39,21,1,45,15,39,21,0
3,8,57,3,45,15,1,57,3,45,15,0
3,9,35,25,45,15,0,45,15,35,25,0
3,10,30,30,33,27,0,33,27,30,30,0
3,11,57,3,34,26,1,57,3,34,26,0
3,12,60,0,55,5,1,60,0,55,5,0
3,13,57,3,26,34,1,57,3,26,34,0
3,14,55,5,33,27,1,55,5,33,27,0
3,15,32,28,31,29,1,32,28,31,29,0
3,16,31,29,35,25,0,35,25,31,29,0
3,17,45,15,28,32,1,45,15,28,32,0
3,18,40,20,26,34,1,40,20,26,34,0
3,19,57,3,40,20,1,57,3,40,20,0
3,20,35,25,33,27,1,35,25,33,27,0
3,21,55,5,37,23,1,55,5,37,23,0
3,22,30,30,35,25,1,35,25,30,30,1
3,23,31,29,45,15,0,45,15,31,29,0
3,24,5,55,55,5,0,55,5,5,55,0
3,25,34,26,27,33,1,34,26,27,33,0
3,26,57,3,21,39,1,57,3,21,39,0
3,27,39,21,33,27,1,39,21,33,27,0
3,28,37,23,35,25,1,37,23,35,25,0
3,29,35,25,60,0,0,60,0,35,25,0
3,30,35,25,29,31,1,35,25,29,31,0
3,31,29,31,57,3,0,57,3,29,31,0
3,32,45,15,23,37,1,45,15,23,37,0
3,33,34,26,31,29,1,34,26,31,29,0
3,34,27,33,60,0,0,60,0,27,33,0
3,35,23,37,37,23,0,37,23,23,37,0
3,36,50,10,27,33,1,50,10,27,33,0
3,37,55,5,15,45,1,55,5,15,45,0
3,38,32,28,30,30,1,32,28,30,30,0
3,39,25,35,37,23,0,37,23,25,35,0
3,40,30,30,55,5,0,55,5,30,30,0
3,41,33,27,57,3,0,57,3,33,27,0
